,Restaurant,Category,Beverage,Size,Calories,Total Fat (g),Trans Fat (g),Saturated Fat (g),Sodium (mg),Total Carbohydrates (g),Cholesterol (mg),Dietary Fibre (g),Sugars (g),Protein (g),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV),Pair,Standardized Size,Drink ID,Size_ml,Calories_per_100ml,Sugars (g)_per_100ml,Total Fat (g)_per_100ml,Total Carbohydrates (g)_per_100ml,Protein (g)_per_100ml
11,McDonalds,Coffee & Tea,Frappé Mocha,22 fl oz cup,670,26.0,1.0,17.0,190,98,90,1,88,11.0,20,0,35,4,8,Large,8_Large,650.617,102.97917207819656,13.525622601315368,3.9962066776613585,15.06262516964666,1.690702825164421
48,Starbucks,Frappuccino® Blended Coffee,Frappuccino Mocha (Without Whipped Cream),20 fl oz cup,340,1.0,0.5,0.0,5,300,80,1,76,7.0,10%,0%,15%,10%,8,Large,8_Large,591.47,57.483896055590314,12.849341471249598,0.16907028251644207,50.72108475493262,1.1834919776150945
10,McDonalds,Coffee & Tea,Frappé Mocha,16 fl oz cup,550,22.0,1.0,14.0,160,80,75,1,71,9.0,15,0,25,4,8,Medium,8_Medium,473.176,116.23581923005392,15.004987573334235,4.649432769202157,16.90702825164421,1.9020406783099735
47,Starbucks,Frappuccino® Blended Coffee,Frappuccino Mocha (Without Whipped Cream),16 fl oz cup,260,1.0,0.5,0.0,0,220,61,1,58,4.0,6%,0%,10%,8%,8,Medium,8_Medium,473.176,54.94784181784368,12.257595482442053,0.21133785314555262,46.49432769202158,0.8453514125822105
9,McDonalds,Coffee & Tea,Frappé Mocha,12 fl oz cup,450,18.0,1.0,12.0,125,65,65,1,57,7.0,15,0,20,4,8,Small,8_Small,354.882,126.80271188733157,16.061676839062,5.072108475493263,18.315947272614558,1.972486629358491
46,Starbucks,Frappuccino® Blended Coffee,Frappuccino Mocha (Without Whipped Cream),12 fl oz cup,180,0.5,0.4,0.0,0,150,42,1,40,3.0,4%,0%,10%,8%,8,Small,8_Small,354.882,50.72108475493262,11.271352167762807,0.14089190209703506,42.267570629110516,0.8453514125822105
60,Starbucks,Shaken Iced Beverages,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup),20 fl oz cup,190,0.0,0.0,0.0,0,0,49,0,49,0.1,0%,20%,0%,0%,9,Large,9_Large,591.47,32.123353678124,8.284443843305663,0.0,0.0,0.016907028251644207
30,McDonalds,Coffee & Tea,Sweet Tea,16 fl oz cup,150,0.0,0.0,0.0,10,36,0,0,36,1.0,0,0,0,0,9,Medium,9_Medium,473.176,31.700677971832892,7.608162713239894,0.0,7.608162713239894,0.21133785314555262
59,Starbucks,Shaken Iced Beverages,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup),16 fl oz cup,130,0.0,0.0,0.0,0,0,33,0,33,0.1,0%,15%,0%,0%,9,Medium,9_Medium,473.176,27.47392090892184,6.974149153803236,0.0,0.0,0.021133785314555262
29,McDonalds,Coffee & Tea,Sweet Tea,12 fl oz cup,110,0.0,0.0,0.0,5,27,0,0,27,0.0,0,0,0,0,9,Small,9_Small,354.882,30.996218461347713,7.608162713239894,0.0,7.608162713239894,0.0
58,Starbucks,Shaken Iced Beverages,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup),12 fl oz cup,100,0.0,0.0,0.0,0,0,25,0,24,0.1,0%,10%,0%,0%,9,Small,9_Small,354.882,28.178380419407013,6.762811300657684,0.0,0.0,0.028178380419407012
28,McDonalds,Smoothies & Shakes,Strawberry Banana Smoothie,22 fl oz cup,330,1.0,0.0,0.5,80,74,5,4,70,5.0,0,45,10,4,10,Large,10_Large,650.617,50.72108475493263,10.759017978319042,0.15370025683312918,11.373819005651558,0.7685012841656459
27,McDonalds,Smoothies & Shakes,Strawberry Banana Smoothie,16 fl oz cup,250,1.0,0.0,0.0,60,58,5,3,54,4.0,0,35,8,4,10,Medium,10_Medium,473.176,52.83446328638816,11.41224406985984,0.21133785314555262,12.257595482442053,0.8453514125822105
61,Starbucks,Smoothies,Strawberry Banana Smoothie,16 fl oz cup,290,1.0,0.3,0.0,5,125,58,7,41,16.0,4%,100%,10%,8%,10,Medium,10_Medium,473.176,61.28797741221026,8.664851978967656,0.21133785314555262,26.41723164319408,3.381405650328842
26,McDonalds,Smoothies & Shakes,Strawberry Banana Smoothie,12 fl oz cup,210,0.5,0.0,0.0,50,47,5,3,44,3.0,0,30,8,2,10,Small,10_Small,354.882,59.17459888075472,12.398487384539086,0.14089190209703506,13.243838797121295,0.8453514125822105
20,McDonalds,Coffee & Tea,Nonfat French Vanilla Latte,20 fl oz cup,300,0.5,0.0,0.0,180,60,10,1,56,16.0,15,0,50,2,11,Large,11_Large,591.47,50.72108475493262,9.467935820920756,0.08453514125822104,10.144216950986525,2.705124520263073
64,Starbucks,Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),20 fl oz cup,250,0.3,0.2,0.0,10,180,47,0,45,15.0,25%,0%,50%,0%,11,Large,11_Large,591.47,42.267570629110516,7.608162713239894,0.05072108475493262,30.432650852959576,2.5360542377466313
19,McDonalds,Coffee & Tea,Nonfat French Vanilla Latte,16 fl oz cup,240,0.0,0.0,0.0,140,49,5,1,46,12.0,15,0,40,2,11,Medium,11_Medium,473.176,50.72108475493262,9.72154124469542,0.0,10.355554804132078,2.5360542377466313
63,Starbucks,Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),16 fl oz cup,200,0.3,0.2,0.0,5,140,37,0,35,12.0,20%,0%,35%,0%,11,Medium,11_Medium,473.176,42.26757062911052,7.396824860094342,0.06340135594366578,29.587299440377368,2.5360542377466313
18,McDonalds,Coffee & Tea,Nonfat French Vanilla Latte,12 fl oz cup,190,0.0,0.0,0.0,115,39,5,1,37,10.0,10,0,30,0,11,Small,11_Small,354.882,53.53892279687332,10.426000755180596,0.0,10.989568363568736,2.8178380419407016
62,Starbucks,Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),12 fl oz cup,150,0.2,0.1,0.0,5,110,28,0,27,9.0,15%,0%,30%,0%,11,Small,11_Small,354.882,42.267570629110516,7.608162713239894,0.056356760838814024,30.996218461347713,2.5360542377466313
